assessment_id,title,description,category,skills_measured,domain,difficulty,duration_min,ideal_role
43,Data Visualization Mastery,"Tests chart selection and dashboard design principles",Technical,"data visualization, tableau, powerbi",Analytics,Intermediate,35,"Data Analyst, BI Developer"
44,Agile Methodology Test,"Evaluates Scrum and Agile development practices",Behavioral,"agile, scrum, sprint planning",Management,Intermediate,30,"Scrum Master, Product Owner"
45,Computer Networks Assessment,"Tests networking protocols and infrastructure knowledge",Technical,"networking, tcp/ip, dns",Networking,Intermediate,40,"Network Engineer, SysAdmin"
46,Sales Aptitude Test,"Measures sales techniques and customer acquisition strategies",Behavioral,"sales, prospecting, closing",Sales,Intermediate,30,"Sales Representative, Account Executive"
47,Operating Systems Knowledge,"Tests OS concepts, processes, and memory management",Technical,"operating systems, linux, windows",Systems,Intermediate,35,"System Administrator, DevOps"
48,Conflict Resolution Skills,"Evaluates mediation and problem-solving in disputes",Behavioral,"conflict resolution, mediation",HR,Intermediate,25,"HR Manager, Team Lead"
49,API Design & Development,"Tests REST API principles and implementation",Technical,"api, rest, endpoints",Software Engineering,Intermediate,40,"API Developer, Backend Engineer"
50,Market Research Analysis,"Measures research methodology and data interpretation",Cognitive,"market research, analysis",Marketing,Intermediate,35,"Market Researcher, Analyst"
51,Database Design Principles,"Tests normalization, indexing, and schema design",Technical,"database design, normalization",Database,Intermediate,45,"Database Architect, DBA"
52,Stress Management Assessment,"Evaluates coping strategies and resilience under pressure",Behavioral,"stress management, resilience",Psychology,Intermediate,25,"Any High-Stress Role"
53,Computer Vision Fundamentals,"Tests image processing and object detection concepts",Technical,"computer vision, opencv, cnn",AI,Advanced,50,"Computer Vision Engineer, Research"
54,Technical Writing Skills,"Measures documentation clarity and technical communication",Language,"technical writing, documentation",Communication,Intermediate,30,"Technical Writer, Developer"
55,Investment Analysis Test,"Evaluates portfolio management and investment strategies",Cognitive,"investment analysis, portfolio",Finance,Advanced,45,"Investment Analyst, Portfolio Manager"
56,Game Development Concepts,"Tests game engines and interactive programming",Technical,"game development, unity, unreal",Gaming,Intermediate,50,"Game Developer, Game Designer"
57,Change Management Assessment,"Measures adaptability to organizational changes",Behavioral,"change management, adaptability",Management,Intermediate,25,"Change Manager, Leader"
58,Microservices Architecture,"Tests distributed systems and service-oriented architecture",Technical,"microservices, docker, kubernetes",Software Architecture,Advanced,55,"Software Architect, Lead Developer"
59,Cross-cultural Communication,"Evaluates effectiveness in diverse cultural settings",Behavioral,"cross-cultural, communication",International Business,Intermediate,30,"International Manager, Diplomat"
60,Quantum Computing Basics,"Tests quantum algorithms and quantum information theory",Technical,"quantum computing, qiskit",Research,Advanced,60,"Quantum Researcher, Physicist"
61,Supply Chain Management,"Measures logistics and supply chain optimization",Cognitive,"supply chain, logistics, operations",Operations,Intermediate,40,"Supply Chain Analyst, Logistics"
62,Augmented Reality Development,"Tests AR frameworks and spatial computing",Technical,"ar, vr, unity",Emerging Tech,Advanced,50,"AR Developer, XR Engineer"
63,Ethical Hacking Fundamentals,"Evaluates penetration testing and security assessment",Technical,"ethical hacking, penetration testing",Security,Advanced,55,"Security Consultant, Pen Tester"
64,Product Management Test,"Tests product strategy and roadmap planning",Behavioral,"product management, strategy",Product,Intermediate,45,"Product Manager, Product Owner"
65,Robotics Programming,"Measures robot control systems and automation",Technical,"robotics, automation, ros",Robotics,Advanced,50,"Robotics Engineer, Automation"
66,Legal Compliance Awareness,"Tests regulatory requirements and compliance procedures",Cognitive,"compliance, legal, regulations",Legal,Beginner,30,"Compliance Officer, Legal"
67,Bioinformatics Analysis,"Evaluates biological data processing and genomic analysis",Technical,"bioinformatics, python, biology",Healthcare,Advanced,60,"Bioinformatician, Researcher"
68,Event Planning Skills,"Measures organization and coordination for events",Behavioral,"event planning, coordination",Hospitality,Intermediate,35,"Event Planner, Coordinator"
69,3D Modeling & Animation,"Tests 3D design software and animation principles",Technical,"3d modeling, blender, maya",Design,Intermediate,50,"3D Artist, Animator"
70,Pharmaceutical Knowledge,"Evaluates drug development and regulatory affairs",Cognitive,"pharmaceuticals, fda, clinical",Healthcare,Advanced,45,"Pharma Researcher, Medical"
71,Geographic Information Systems,"Tests spatial data analysis and mapping",Technical,"gis, spatial analysis, arcgis",Geospatial,Intermediate,40,"GIS Analyst, Urban Planner"
72,Social Media Management,"Measures content strategy and community engagement",Behavioral,"social media, content strategy",Marketing,Intermediate,30,"Social Media Manager, Content"
73,Audio Engineering Test,"Evaluates sound mixing and audio production techniques",Technical,"audio engineering, mixing, production",Audio,Intermediate,45,"Audio Engineer, Producer"
74,Environmental Science Assessment,"Tests sustainability and environmental impact analysis",Cognitive,"environmental science, sustainability",Environmental,Intermediate,35,"Environmental Analyst, Consultant"
75,Fashion Design Aptitude,"Measures creative design and trend analysis",Behavioral,"fashion design, creativity",Fashion,Intermediate,40,"Fashion Designer, Stylist"
76,Construction Management,"Tests project planning and site safety protocols",Cognitive,"construction, safety, project",Construction,Intermediate,45,"Construction Manager, Engineer"
77,Marine Biology Knowledge,"Evaluates marine ecosystems and conservation",Cognitive,"marine biology, conservation",Science,Advanced,50,"Marine Biologist, Researcher"
78,Culinary Skills Assessment,"Tests cooking techniques and food safety",Behavioral,"culinary, cooking, safety",Hospitality,Intermediate,40,"Chef, Culinary Artist"
79,Aviation Systems Test,"Measures aircraft systems and flight operations knowledge",Technical,"aviation, aircraft systems",Aviation,Advanced,55,"Pilot, Aviation Engineer"
80,Journalism & Reporting,"Evaluates news writing and investigative reporting",Language,"journalism, writing, research",Media,Intermediate,35,"Journalist, Reporter"
81,Interior Design Principles,"Tests space planning and aesthetic composition",Behavioral,"interior design, space planning",Design,Intermediate,40,"Interior Designer, Architect"
82,Agricultural Science,"Measures crop management and sustainable farming",Cognitive,"agriculture, farming, sustainability",Agriculture,Intermediate,45,"Agricultural Scientist, Farmer"
83,Music Theory Proficiency,"Tests musical notation and composition techniques",Cognitive,"music theory, composition",Music,Intermediate,35,"Musician, Composer"
84,Real Estate Analysis,"Evaluates property valuation and market trends",Cognitive,"real estate, valuation, market",Real Estate,Intermediate,40,"Real Estate Agent, Analyst"
85,Archaeology Fundamentals,"Tests historical analysis and excavation methods",Cognitive,"archaeology, history, research",Research,Intermediate,50,"Archaeologist, Historian"
86,Forensic Science Assessment,"Measures crime scene analysis and evidence handling",Technical,"forensics, evidence, analysis",Forensics,Advanced,55,"Forensic Scientist, Analyst"
87,Wildlife Conservation,"Evaluates ecosystem management and species protection",Cognitive,"conservation, ecology, wildlife",Environmental,Intermediate,45,"Conservationist, Biologist"
88,Sports Science Test,"Tests athletic training and performance analysis",Cognitive,"sports science, training, physiology",Sports,Intermediate,40,"Sports Scientist, Coach"
89,Graphic Design Skills,"Measures visual design and software proficiency",Technical,"graphic design, adobe, creativity",Design,Intermediate,45,"Graphic Designer, Artist"
90,Human Resources Management,"Tests recruitment, training, and employee relations",Behavioral,"hr, recruitment, training",HR,Intermediate,35,"HR Manager, Recruiter"
91,Photography Composition,"Evaluates technical and artistic photography skills",Behavioral,"photography, composition, lighting",Media,Intermediate,30,"Photographer, Content Creator"
92,Automotive Engineering,"Tests vehicle systems and mechanical engineering",Technical,"automotive, mechanical, systems",Engineering,Advanced,50,"Automotive Engineer, Mechanic"
93,Psychology Research Methods,"Evaluates experimental design and statistical analysis",Cognitive,"psychology, research, statistics",Psychology,Advanced,45,"Psychologist, Researcher"
94,Teaching Aptitude Test,"Measures instructional design and classroom management",Behavioral,"teaching, instruction, pedagogy",Education,Intermediate,40,"Teacher, Educator"
95,Foreign Language Proficiency,"Tests fluency in specific foreign languages",Language,"language, fluency, translation",Language,Intermediate,50,"Translator, International"
96,Industrial Engineering,"Evaluates process optimization and efficiency analysis",Technical,"industrial engineering, optimization",Engineering,Advanced,55,"Industrial Engineer, Consultant"
97,Meteorology Fundamentals,"Tests weather patterns and climate analysis",Cognitive,"meteorology, weather, climate",Science,Intermediate,45,"Meteorologist, Researcher"
98,Actuarial Science Assessment,"Measures risk calculation and financial modeling",Cognitive,"actuarial, risk, mathematics",Finance,Advanced,60,"Actuary, Risk Analyst"
99,Space Systems Engineering,"Tests spacecraft design and orbital mechanics",Technical,"space systems, aerospace, physics",Aerospace,Advanced,65,"Aerospace Engineer, Scientist"
100,Entrepreneurship Evaluation,"Measures business planning and innovation mindset",Behavioral,"entrepreneurship, business planning",Business,Advanced,50,"Entrepreneur, Startup Founder"
